DepartmentID,Name,GroupName,ModifiedDate
1,"Engineering","Research and Development",2008-04-30 00:00:00.0000000
2,"Tool Design","Research and Development",2008-04-30 00:00:00.0000000
3,"Sales","Sales and Marketing",2008-04-30 00:00:00.0000000
4,"Marketing","Sales and Marketing",2008-04-30 00:00:00.0000000
5,"Purchasing","Inventory Management",2008-04-30 00:00:00.0000000
6,"Research and Development","Research and Development",2008-04-30 00:00:00.0000000
7,"Production","Manufacturing",2008-04-30 00:00:00.0000000
8,"Production Control","Manufacturing",2008-04-30 00:00:00.0000000
9,"Human Resources","Executive General and Administration",2008-04-30 00:00:00.0000000
10,"Finance","Executive General and Administration",2008-04-30 00:00:00.0000000
11,"Information Services","Executive General and Administration",2008-04-30 00:00:00.0000000
12,"Document Control","Quality Assurance",2008-04-30 00:00:00.0000000
13,"Quality Assurance","Quality Assurance",2008-04-30 00:00:00.0000000
14,"Facilities and Maintenance","Executive General and Administration",2008-04-30 00:00:00.0000000
15,"Shipping and Receiving","Inventory Management",2008-04-30 00:00:00.0000000
16,"Executive","Executive General and Administration",2008-04-30 00:00:00.0000000
