BusinessEntityID,RateChangeDate,Rate,PayFrequency,ModifiedDate
1,2009-01-14 00:00:00.0000000,125.5000,2,2014-06-30 00:00:00.0000000
2,2008-01-31 00:00:00.0000000,63.4615,2,2014-06-30 00:00:00.0000000
3,2007-11-11 00:00:00.0000000,43.2692,2,2014-06-30 00:00:00.0000000
4,2007-12-05 00:00:00.0000000,8.6200,2,2007-11-21 00:00:00.0000000
4,2010-05-31 00:00:00.0000000,23.7200,2,2010-05-16 00:00:00.0000000
4,2011-12-15 00:00:00.0000000,29.8462,2,2011-12-01 00:00:00.0000000
5,2008-01-06 00:00:00.0000000,32.6923,2,2014-06-30 00:00:00.0000000
6,2008-01-24 00:00:00.0000000,32.6923,2,2014-06-30 00:00:00.0000000
7,2009-02-08 00:00:00.0000000,50.4808,2,2014-06-30 00:00:00.0000000
8,2008-12-29 00:00:00.0000000,40.8654,2,2014-06-30 00:00:00.0000000
9,2009-01-16 00:00:00.0000000,40.8654,2,2014-06-30 00:00:00.0000000
10,2009-05-03 00:00:00.0000000,42.4808,2,2014-06-30 00:00:00.0000000
11,2010-12-05 00:00:00.0000000,28.8462,2,2014-06-30 00:00:00.0000000
12,2007-12-11 00:00:00.0000000,25.0000,2,2014-06-30 00:00:00.0000000
13,2010-12-23 00:00:00.0000000,25.0000,2,2014-06-30 00:00:00.0000000
14,2010-12-30 00:00:00.0000000,36.0577,2,2014-06-30 00:00:00.0000000
15,2011-01-18 00:00:00.0000000,32.6923,2,2014-06-30 00:00:00.0000000
16,2007-12-20 00:00:00.0000000,24.0000,2,2007-12-06 00:00:00.0000000
16,2009-07-15 00:00:00.0000000,28.7500,2,2009-07-01 00:00:00.0000000
16,2012-04-30 00:00:00.0000000,37.5000,2,2012-04-16 00:00:00.0000000
17,2007-01-26 00:00:00.0000000,13.4615,2,2014-06-30 00:00:00.0000000
18,2011-02-07 00:00:00.0000000,14.4231,2,2014-06-30 00:00:00.0000000
19,2011-02-14 00:00:00.0000000,13.4615,2,2014-06-30 00:00:00.0000000
20,2011-01-07 00:00:00.0000000,13.4615,2,2014-06-30 00:00:00.0000000
21,2009-03-02 00:00:00.0000000,14.4231,2,2014-06-30 00:00:00.0000000
22,2008-12-12 00:00:00.0000000,14.4231,2,2014-06-30 00:00:00.0000000
23,2009-01-12 00:00:00.0000000,14.4231,2,2014-06-30 00:00:00.0000000
24,2009-01-18 00:00:00.0000000,14.4231,2,2014-06-30 00:00:00.0000000
25,2009-02-03 00:00:00.0000000,84.1346,2,2014-06-30 00:00:00.0000000
26,2008-12-01 00:00:00.0000000,24.5192,2,2014-06-30 00:00:00.0000000
27,2008-02-27 00:00:00.0000000,25.0000,2,2014-06-30 00:00:00.0000000
28,2006-06-30 00:00:00.0000000,12.4500,1,2014-06-30 00:00:00.0000000
29,2009-01-23 00:00:00.0000000,12.4500,1,2014-06-30 00:00:00.0000000
30,2009-01-29 00:00:00.0000000,12.4500,1,2014-06-30 00:00:00.0000000
31,2009-01-04 00:00:00.0000000,12.4500,1,2014-06-30 00:00:00.0000000
