PurchaseOrderID,RevisionNumber,Status,EmployeeID,VendorID,ShipMethodID,OrderDate,ShipDate,SubTotal,TaxAmt,Freight,TotalDue,ModifiedDate
1,4,4,258,1580,3,2011-04-16 00:00:00.0000000,2011-04-25 00:00:00.0000000,201.0400,16.0832,5.0260,222.1492,2011-04-25 00:00:00.0000000
2,4,1,254,1496,5,2011-04-16 00:00:00.0000000,2011-04-25 00:00:00.0000000,272.1015,21.7681,6.8025,300.6721,2011-04-25 00:00:00.0000000
3,4,4,257,1494,2,2011-04-16 00:00:00.0000000,2011-04-25 00:00:00.0000000,8847.3000,707.7840,221.1825,9776.2665,2011-04-25 00:00:00.0000000
4,4,3,261,1650,5,2011-04-16 00:00:00.0000000,2011-04-25 00:00:00.0000000,171.0765,13.6861,4.2769,189.0395,2011-04-25 00:00:00.0000000
5,4,4,251,1654,4,2011-04-30 00:00:00.0000000,2011-05-09 00:00:00.0000000,20397.3000,1631.7840,509.9325,22539.0165,2011-05-09 00:00:00.0000000
6,4,4,253,1664,3,2011-04-30 00:00:00.0000000,2011-05-09 00:00:00.0000000,14628.0750,1170.2460,365.7019,16164.0229,2011-05-09 00:00:00.0000000
7,4,4,255,1678,3,2011-04-30 00:00:00.0000000,2011-05-09 00:00:00.0000000,58685.5500,4694.8440,1467.1388,64847.5328,2011-05-09 00:00:00.0000000
8,4,4,256,1616,5,2011-04-30 00:00:00.0000000,2011-05-09 00:00:00.0000000,693.3780,55.4702,17.3345,766.1827,2011-05-09 00:00:00.0000000
9,5,4,259,1492,5,2011-12-14 00:00:00.0000000,2011-12-23 00:00:00.0000000,694.1655,55.5332,17.3541,767.0528,2011-12-23 00:00:00.0000000
10,4,4,250,1602,5,2011-12-14 00:00:00.0000000,2011-12-23 00:00:00.0000000,1796.0355,143.6828,44.9009,1984.6192,2011-12-23 00:00:00.0000000
11,4,4,258,1540,4,2011-12-14 00:00:00.0000000,2011-12-23 00:00:00.0000000,501.1965,40.0957,12.5299,553.8221,2011-12-23 00:00:00.0000000
12,4,4,254,1628,5,2011-12-14 00:00:00.0000000,2011-12-23 00:00:00.0000000,34644.2250,2771.5380,866.1056,38281.8686,2011-12-23 00:00:00.0000000
13,4,4,257,1604,4,2011-12-14 00:00:00.0000000,2011-12-23 00:00:00.0000000,1839.5055,147.1604,45.9876,2032.6535,2011-12-23 00:00:00.0000000
14,4,3,261,1690,5,2011-12-14 00:00:00.0000000,2011-12-23 00:00:00.0000000,146.2860,11.7029,3.6572,161.6461,2011-12-23 00:00:00.0000000
15,4,4,251,1566,5,2011-12-14 00:00:00.0000000,2011-12-23 00:00:00.0000000,102.5640,8.2051,2.5641,113.3332,2011-12-23 00:00:00.0000000
16,4,4,253,1698,5,2011-12-14 00:00:00.0000000,2011-12-23 00:00:00.0000000,150.7905,12.0632,3.7698,166.6235,2011-12-23 00:00:00.0000000
17,4,4,255,1560,5,2011-12-15 00:00:00.0000000,2011-12-24 00:00:00.0000000,13669.4250,1093.5540,341.7356,15104.7146,2011-12-24 00:00:00.0000000
18,4,4,256,1692,5,2011-12-15 00:00:00.0000000,2011-12-24 00:00:00.0000000,16393.2300,1311.4584,409.8308,18114.5192,2011-12-24 00:00:00.0000000
19,4,4,259,1696,2,2011-12-15 00:00:00.0000000,2011-12-24 00:00:00.0000000,79204.1250,6336.3300,1980.1031,87520.5581,2011-12-24 00:00:00.0000000
20,4,4,260,1504,1,2011-12-15 00:00:00.0000000,2011-12-24 00:00:00.0000000,551.8800,44.1504,13.7970,609.8274,2011-12-24 00:00:00.0000000
21,4,4,250,1544,1,2011-12-15 00:00:00.0000000,2011-12-24 00:00:00.0000000,6987.7500,559.0200,174.6938,7721.4638,2011-12-24 00:00:00.0000000
22,4,4,254,1530,2,2011-12-15 00:00:00.0000000,2011-12-24 00:00:00.0000000,28072.2750,2245.7820,701.8069,31019.8639,2011-12-24 00:00:00.0000000
23,4,4,257,1508,1,2011-12-15 00:00:00.0000000,2011-12-24 00:00:00.0000000,37312.2750,2984.9820,932.8069,41230.0639,2011-12-24 00:00:00.0000000
24,4,3,261,1694,1,2011-12-15 00:00:00.0000000,2011-12-24 00:00:00.0000000,4215.7500,337.2600,105.3938,4658.4038,2011-12-24 00:00:00.0000000
25,4,4,251,1624,2,2011-12-15 00:00:00.0000000,2011-12-24 00:00:00.0000000,28297.5000,2263.8000,707.4375,31268.7375,2011-12-24 00:00:00.0000000
26,4,4,253,1548,2,2011-12-15 00:00:00.0000000,2011-12-24 00:00:00.0000000,59.9445,4.7956,1.4986,66.2387,2011-12-24 00:00:00.0000000
27,4,4,255,1598,4,2011-12-15 00:00:00.0000000,2011-12-24 00:00:00.0000000,722.6100,57.8088,18.0653,798.4841,2011-12-24 00:00:00.0000000
28,4,4,256,1658,5,2011-12-15 00:00:00.0000000,2011-12-24 00:00:00.0000000,43878.4500,3510.2760,1096.9613,48485.6873,2011-12-24 00:00:00.0000000
29,4,4,259,1536,4,2012-01-08 00:00:00.0000000,2012-01-17 00:00:00.0000000,592.7985,47.4239,14.8200,655.0424,2012-01-17 00:00:00.0000000
30,4,4,260,1568,2,2012-01-08 00:00:00.0000000,2012-01-17 00:00:00.0000000,21252.0000,1700.1600,531.3000,23483.4600,2012-01-17 00:00:00.0000000
31,4,4,258,1648,5,2012-01-08 00:00:00.0000000,2012-01-17 00:00:00.0000000,142.4115,11.3929,3.5603,157.3647,2012-01-17 00:00:00.0000000
32,6,4,254,1646,2,2012-01-08 00:00:00.0000000,2012-01-17 00:00:00.0000000,28794.1500,2303.5320,719.8538,31817.5358,2012-01-17 00:00:00.0000000
33,4,4,257,1672,4,2012-01-16 00:00:00.0000000,2012-01-25 00:00:00.0000000,421.1550,33.6924,10.5289,465.3763,2012-01-25 00:00:00.0000000
34,4,3,261,1600,1,2012-01-16 00:00:00.0000000,2012-01-25 00:00:00.0000000,1276.2750,102.1020,31.9069,1410.2839,2012-01-25 00:00:00.0000000
35,4,4,251,1522,1,2012-01-16 00:00:00.0000000,2012-01-25 00:00:00.0000000,2003.9250,160.3140,50.0981,2214.3371,2012-01-25 00:00:00.0000000
36,4,4,253,1570,2,2012-01-16 00:00:00.0000000,2012-01-25 00:00:00.0000000,50860.4250,4068.8340,1271.5106,56200.7696,2012-01-25 00:00:00.0000000
37,4,4,255,1516,1,2012-01-16 00:00:00.0000000,2012-01-25 00:00:00.0000000,454.8600,36.3888,11.3715,502.6203,2012-01-25 00:00:00.0000000
38,6,4,256,1506,5,2012-01-16 00:00:00.0000000,2012-01-25 00:00:00.0000000,43878.4500,3510.2760,1096.9613,48485.6873,2012-01-25 00:00:00.0000000
