CurrencyRateID,CurrencyRateDate,FromCurrencyCode,ToCurrencyCode,AverageRate,EndOfDayRate,ModifiedDate
1,2011-05-31 00:00:00.0000000,"USD","ARS",1.0000,1.0002,2011-05-31 00:00:00.0000000
2,2011-05-31 00:00:00.0000000,"USD","AUD",1.5491,1.5500,2011-05-31 00:00:00.0000000
3,2011-05-31 00:00:00.0000000,"USD","BRL",1.9379,1.9419,2011-05-31 00:00:00.0000000
4,2011-05-31 00:00:00.0000000,"USD","CAD",1.4641,1.4683,2011-05-31 00:00:00.0000000
5,2011-05-31 00:00:00.0000000,"USD","CNY",8.2781,8.2784,2011-05-31 00:00:00.0000000
6,2011-05-31 00:00:00.0000000,"USD","DEM",1.8967,1.8976,2011-05-31 00:00:00.0000000
7,2011-05-31 00:00:00.0000000,"USD","EUR",0.9697,0.9703,2011-05-31 00:00:00.0000000
8,2011-05-31 00:00:00.0000000,"USD","FRF",6.3611,6.3613,2011-05-31 00:00:00.0000000
9,2011-05-31 00:00:00.0000000,"USD","GBP",0.6183,0.6183,2011-05-31 00:00:00.0000000
10,2011-05-31 00:00:00.0000000,"USD","JPY",104.9100,104.9580,2011-05-31 00:00:00.0000000
11,2011-05-31 00:00:00.0000000,"USD","MXN",9.3740,9.3840,2011-05-31 00:00:00.0000000
12,2011-05-31 00:00:00.0000000,"USD","SAR",3.7507,3.7584,2011-05-31 00:00:00.0000000
13,2011-05-31 00:00:00.0000000,"USD","VEB",634.5099,634.6000,2011-05-31 00:00:00.0000000
14,2011-06-01 00:00:00.0000000,"USD","ARS",1.0000,0.9991,2011-06-01 00:00:00.0000000
15,2011-06-01 00:00:00.0000000,"USD","AUD",1.5559,1.5558,2011-06-01 00:00:00.0000000
16,2011-06-01 00:00:00.0000000,"USD","BRL",1.9339,1.9330,2011-06-01 00:00:00.0000000
17,2011-06-01 00:00:00.0000000,"USD","CAD",1.4661,1.4637,2011-06-01 00:00:00.0000000
18,2011-06-01 00:00:00.0000000,"USD","CNY",8.2781,8.2774,2011-06-01 00:00:00.0000000
19,2011-06-01 00:00:00.0000000,"USD","DEM",1.8924,1.8922,2011-06-01 00:00:00.0000000
20,2011-06-01 00:00:00.0000000,"USD","EUR",0.9676,0.9670,2011-06-01 00:00:00.0000000
21,2011-06-01 00:00:00.0000000,"USD","FRF",6.3468,6.3465,2011-06-01 00:00:00.0000000
22,2011-06-01 00:00:00.0000000,"USD","GBP",0.6166,0.6162,2011-06-01 00:00:00.0000000
23,2011-06-01 00:00:00.0000000,"USD","JPY",105.7000,105.6740,2011-06-01 00:00:00.0000000
24,2011-06-01 00:00:00.0000000,"USD","MXN",9.3949,9.3919,2011-06-01 00:00:00.0000000
25,2011-06-01 00:00:00.0000000,"USD","SAR",3.7507,3.7507,2011-06-01 00:00:00.0000000
26,2011-06-01 00:00:00.0000000,"USD","VEB",634.2500,634.2400,2011-06-01 00:00:00.0000000
27,2011-06-02 00:00:00.0000000,"USD","ARS",1.0000,1.0004,2011-06-02 00:00:00.0000000
28,2011-06-02 00:00:00.0000000,"USD","AUD",1.5592,1.5597,2011-06-02 00:00:00.0000000
29,2011-06-02 00:00:00.0000000,"USD","BRL",1.9359,1.9440,2011-06-02 00:00:00.0000000
30,2011-06-02 00:00:00.0000000,"USD","CAD",1.4672,1.4734,2011-06-02 00:00:00.0000000
31,2011-06-02 00:00:00.0000000,"USD","CNY",8.2781,8.2789,2011-06-02 00:00:00.0000000
32,2011-06-02 00:00:00.0000000,"USD","DEM",1.8796,1.8802,2011-06-02 00:00:00.0000000
33,2011-06-02 00:00:00.0000000,"USD","EUR",0.9610,0.9615,2011-06-02 00:00:00.0000000
34,2011-06-02 00:00:00.0000000,"USD","FRF",6.3041,6.3041,2011-06-02 00:00:00.0000000
35,2011-06-02 00:00:00.0000000,"USD","GBP",0.6156,0.6163,2011-06-02 00:00:00.0000000
36,2011-06-02 00:00:00.0000000,"USD","JPY",105.5300,105.6040,2011-06-02 00:00:00.0000000
